farmer_id,name,region,experience_years
FRM02246,Farmer 2246,Bauchi,25
FRM02247,Farmer 2247,Kano,24
FRM02248,Farmer 2248,Kano,19
FRM02249,Farmer 2249,Kano,1
FRM02250,Farmer 2250,Kano,4
FRM02251,Farmer 2251,Enugu,10
FRM02252,Farmer 2252,Enugu,25
FRM02253,Farmer 2253,Kano,6
FRM02254,Farmer 2254,Enugu,19
FRM02255,Farmer 2255,Benue,26
FRM02256,Farmer 2256,Nasarawa,34
FRM02257,Farmer 2257,Enugu,12
FRM02258,Farmer 2258,Nasarawa,32
FRM02259,Farmer 2259,Kaduna,12
FRM02260,Farmer 2260,Bauchi,8
FRM02261,Farmer 2261,Niger,7
FRM02262,Farmer 2262,Kano,4
FRM02263,Farmer 2263,Benue,15
FRM02264,Farmer 2264,Ogun,2
FRM02265,Farmer 2265,Nasarawa,23
FRM02266,Farmer 2266,Ogun,12
FRM02267,Farmer 2267,Plateau,17
FRM02268,Farmer 2268,Kano,15
FRM02269,Farmer 2269,Nasarawa,1
FRM02270,Farmer 2270,Niger,22
FRM02271,Farmer 2271,Bauchi,3
FRM02272,Farmer 2272,Bauchi,37
FRM02273,Farmer 2273,Benue,38
FRM02274,Farmer 2274,Ogun,9
FRM02275,Farmer 2275,Ogun,16
FRM02276,Farmer 2276,Nasarawa,3
FRM02277,Farmer 2277,Bauchi,10
FRM02278,Farmer 2278,Kaduna,8
FRM02279,Farmer 2279,Enugu,12
FRM02280,Farmer 2280,Benue,27
FRM02281,Farmer 2281,Bauchi,28
FRM02282,Farmer 2282,Oyo,31
FRM02283,Farmer 2283,Kano,7
FRM02284,Farmer 2284,Oyo,12
FRM02285,Farmer 2285,Enugu,34
FRM02286,Farmer 2286,Oyo,21
FRM02287,Farmer 2287,Kano,36
FRM02288,Farmer 2288,Kaduna,3
FRM02289,Farmer 2289,Kano,10
FRM02290,Farmer 2290,Niger,28
FRM02291,Farmer 2291,Kaduna,24
FRM02292,Farmer 2292,Nasarawa,37
FRM02293,Farmer 2293,Ogun,10
FRM02294,Farmer 2294,Benue,26
FRM02295,Farmer 2295,Benue,25
FRM02296,Farmer 2296,Bauchi,23
FRM02297,Farmer 2297,Kaduna,14
FRM02298,Farmer 2298,Oyo,14
FRM02299,Farmer 2299,Oyo,33
FRM02300,Farmer 2300,Oyo,13
FRM02301,Farmer 2301,Enugu,34
FRM02302,Farmer 2302,Oyo,36
FRM02303,Farmer 2303,Ogun,28
FRM02304,Farmer 2304,Kano,39
FRM02305,Farmer 2305,Benue,9
FRM02306,Farmer 2306,Nasarawa,10
FRM02307,Farmer 2307,Nasarawa,6
FRM02308,Farmer 2308,Benue,12
FRM02309,Farmer 2309,Nasarawa,14
FRM02310,Farmer 2310,Oyo,20
FRM02311,Farmer 2311,Enugu,2
FRM02312,Farmer 2312,Nasarawa,7
FRM02313,Farmer 2313,Plateau,22
FRM02314,Farmer 2314,Ogun,20
FRM02315,Farmer 2315,Bauchi,5
FRM02316,Farmer 2316,Niger,9
FRM02317,Farmer 2317,Plateau,15
FRM02318,Farmer 2318,Kano,30
FRM02319,Farmer 2319,Plateau,15
FRM02320,Farmer 2320,Benue,18
FRM02321,Farmer 2321,Ogun,3
FRM02322,Farmer 2322,Bauchi,12
FRM02323,Farmer 2323,Enugu,21
FRM02324,Farmer 2324,Nasarawa,8
FRM02325,Farmer 2325,Kano,16
FRM02326,Farmer 2326,Niger,3
FRM02327,Farmer 2327,Nasarawa,1
FRM02328,Farmer 2328,Kaduna,36
FRM02329,Farmer 2329,Plateau,23
FRM02330,Farmer 2330,Bauchi,29
FRM02331,Farmer 2331,Kaduna,1
FRM02332,Farmer 2332,Niger,18
FRM02333,Farmer 2333,Kano,27
FRM02334,Farmer 2334,Plateau,17
FRM02335,Farmer 2335,Oyo,26
FRM02336,Farmer 2336,Niger,23
FRM02337,Farmer 2337,Oyo,19
FRM02338,Farmer 2338,Niger,8
FRM02339,Farmer 2339,Nasarawa,3
FRM02340,Farmer 2340,Nasarawa,6
FRM02341,Farmer 2341,Niger,23
FRM02342,Farmer 2342,Niger,35
FRM02343,Farmer 2343,Kaduna,31
FRM02344,Farmer 2344,Benue,35
FRM02345,Farmer 2345,Ogun,40
FRM02346,Farmer 2346,Kano,17
FRM02347,Farmer 2347,Benue,20
FRM02348,Farmer 2348,Oyo,23
FRM02349,Farmer 2349,Plateau,22
FRM02350,Farmer 2350,Kano,23
FRM02351,Farmer 2351,Bauchi,3
FRM02352,Farmer 2352,Oyo,20
FRM02353,Farmer 2353,Kaduna,22
FRM02354,Farmer 2354,Bauchi,16
FRM02355,Farmer 2355,Oyo,32
FRM02356,Farmer 2356,Kaduna,2
FRM02357,Farmer 2357,Niger,36
FRM02358,Farmer 2358,Oyo,7
FRM02359,Farmer 2359,Kano,14
FRM02360,Farmer 2360,Bauchi,39
FRM02361,Farmer 2361,Ogun,40
FRM02362,Farmer 2362,Kaduna,38
FRM02363,Farmer 2363,Bauchi,29
FRM02364,Farmer 2364,Benue,32
FRM02365,Farmer 2365,Enugu,4
FRM02366,Farmer 2366,Bauchi,27
FRM02367,Farmer 2367,Kano,10
FRM02368,Farmer 2368,Oyo,27
FRM02369,Farmer 2369,Plateau,21
FRM02370,Farmer 2370,Kaduna,3
FRM02371,Farmer 2371,Niger,19
FRM02372,Farmer 2372,Bauchi,16
FRM02373,Farmer 2373,Kaduna,38
FRM02374,Farmer 2374,Enugu,40
FRM02375,Farmer 2375,Kaduna,4
FRM02376,Farmer 2376,Plateau,40
FRM02377,Farmer 2377,Enugu,14
FRM02378,Farmer 2378,Nasarawa,24
FRM02379,Farmer 2379,Bauchi,7
FRM02380,Farmer 2380,Kano,32
FRM02381,Farmer 2381,Enugu,25
FRM02382,Farmer 2382,Niger,29
FRM02383,Farmer 2383,Kano,38
FRM02384,Farmer 2384,Plateau,22
FRM02385,Farmer 2385,Nasarawa,15
FRM02386,Farmer 2386,Plateau,16
FRM02387,Farmer 2387,Kano,40
FRM02388,Farmer 2388,Niger,30
FRM02389,Farmer 2389,Bauchi,32
FRM02390,Farmer 2390,Enugu,9
FRM02391,Farmer 2391,Bauchi,25
FRM02392,Farmer 2392,Benue,31
FRM02393,Farmer 2393,Niger,40
FRM02394,Farmer 2394,Bauchi,17
FRM02395,Farmer 2395,Kano,40
FRM02396,Farmer 2396,Kano,8
FRM02397,Farmer 2397,Ogun,33
FRM02398,Farmer 2398,Ogun,22
FRM02399,Farmer 2399,Benue,18
FRM02400,Farmer 2400,Nasarawa,38
FRM02401,Farmer 2401,Nasarawa,28
FRM02402,Farmer 2402,Bauchi,13
FRM02403,Farmer 2403,Benue,13
FRM02404,Farmer 2404,Benue,27
FRM02405,Farmer 2405,Bauchi,33
FRM02406,Farmer 2406,Ogun,26
FRM02407,Farmer 2407,Enugu,20
FRM02408,Farmer 2408,Benue,30
FRM02409,Farmer 2409,Enugu,23
FRM02410,Farmer 2410,Kano,22
FRM02411,Farmer 2411,Kano,8
FRM02412,Farmer 2412,Plateau,9
FRM02413,Farmer 2413,Benue,33
FRM02414,Farmer 2414,Kaduna,4
FRM02415,Farmer 2415,Nasarawa,39
FRM02416,Farmer 2416,Kaduna,17
FRM02417,Farmer 2417,Oyo,10
FRM02418,Farmer 2418,Bauchi,2
FRM02419,Farmer 2419,Ogun,39
FRM02420,Farmer 2420,Benue,36
FRM02421,Farmer 2421,Niger,16
FRM02422,Farmer 2422,Enugu,28
FRM02423,Farmer 2423,Bauchi,40
FRM02424,Farmer 2424,Kano,27
FRM02425,Farmer 2425,Benue,35
FRM02426,Farmer 2426,Ogun,25
FRM02427,Farmer 2427,Oyo,32
FRM02428,Farmer 2428,Kano,17
FRM02429,Farmer 2429,Enugu,21
FRM02430,Farmer 2430,Benue,20
FRM02431,Farmer 2431,Benue,13
FRM02432,Farmer 2432,Kano,11
FRM02433,Farmer 2433,Kano,7
FRM02434,Farmer 2434,Kaduna,3
FRM02435,Farmer 2435,Niger,26
FRM02436,Farmer 2436,Nasarawa,39
FRM02437,Farmer 2437,Niger,4
FRM02438,Farmer 2438,Ogun,40
FRM02439,Farmer 2439,Plateau,5
FRM02440,Farmer 2440,Enugu,33
FRM02441,Farmer 2441,Kano,37
FRM02442,Farmer 2442,Oyo,10
FRM02443,Farmer 2443,Nasarawa,29
FRM02444,Farmer 2444,Enugu,13
FRM02445,Farmer 2445,Benue,23
FRM02446,Farmer 2446,Kano,26
FRM02447,Farmer 2447,Nasarawa,17
FRM02448,Farmer 2448,Benue,3
FRM02449,Farmer 2449,Oyo,18
FRM02450,Farmer 2450,Oyo,9
FRM02451,Farmer 2451,Kaduna,40
FRM02452,Farmer 2452,Bauchi,14
FRM02453,Farmer 2453,Oyo,12
FRM02454,Farmer 2454,Nasarawa,9
FRM02455,Farmer 2455,Bauchi,7
FRM02456,Farmer 2456,Kaduna,15
FRM02457,Farmer 2457,Kaduna,25
FRM02458,Farmer 2458,Bauchi,22
FRM02459,Farmer 2459,Plateau,24
FRM02460,Farmer 2460,Benue,22
FRM02461,Farmer 2461,Nasarawa,32
FRM02462,Farmer 2462,Bauchi,9
FRM02463,Farmer 2463,Kaduna,21
FRM02464,Farmer 2464,Enugu,39
FRM02465,Farmer 2465,Bauchi,10
FRM02466,Farmer 2466,Kaduna,23
FRM02467,Farmer 2467,Niger,30
FRM02468,Farmer 2468,Nasarawa,13
FRM02469,Farmer 2469,Nasarawa,12
FRM02470,Farmer 2470,Enugu,14
FRM02471,Farmer 2471,Kano,30
FRM02472,Farmer 2472,Kaduna,10
FRM02473,Farmer 2473,Kano,31
FRM02474,Farmer 2474,Niger,13
FRM02475,Farmer 2475,Ogun,25
FRM02476,Farmer 2476,Niger,15
FRM02477,Farmer 2477,Benue,3
FRM02478,Farmer 2478,Nasarawa,2
FRM02479,Farmer 2479,Enugu,16
FRM02480,Farmer 2480,Enugu,23
FRM02481,Farmer 2481,Kano,10
FRM02482,Farmer 2482,Kaduna,3
FRM02483,Farmer 2483,Niger,39
FRM02484,Farmer 2484,Kano,4
FRM02485,Farmer 2485,Kaduna,17
FRM02486,Farmer 2486,Nasarawa,10
FRM02487,Farmer 2487,Kaduna,9
FRM02488,Farmer 2488,Ogun,1
FRM02489,Farmer 2489,Enugu,14
FRM02490,Farmer 2490,Nasarawa,7
FRM02491,Farmer 2491,Plateau,25
FRM02492,Farmer 2492,Plateau,22
FRM02493,Farmer 2493,Ogun,17
FRM02494,Farmer 2494,Oyo,16
FRM02495,Farmer 2495,Enugu,11
FRM02496,Farmer 2496,Benue,8
FRM02497,Farmer 2497,Ogun,25
FRM02498,Farmer 2498,Oyo,18
FRM02499,Farmer 2499,Nasarawa,5
FRM02500,Farmer 2500,Niger,35
FRM02501,Farmer 2501,Niger,21
FRM02502,Farmer 2502,Ogun,23
FRM02503,Farmer 2503,Kano,31
FRM02504,Farmer 2504,Enugu,16
FRM02505,Farmer 2505,Nasarawa,20
FRM02506,Farmer 2506,Kaduna,38
FRM02507,Farmer 2507,Nasarawa,14
FRM02508,Farmer 2508,Kano,1
FRM02509,Farmer 2509,Kaduna,5
FRM02510,Farmer 2510,Kaduna,14
FRM02511,Farmer 2511,Oyo,18
FRM02512,Farmer 2512,Niger,11
FRM02513,Farmer 2513,Kano,8
FRM02514,Farmer 2514,Kano,10
FRM02515,Farmer 2515,Enugu,28
FRM02516,Farmer 2516,Niger,17
FRM02517,Farmer 2517,Plateau,18
FRM02518,Farmer 2518,Ogun,39
FRM02519,Farmer 2519,Nasarawa,34
FRM02520,Farmer 2520,Niger,14
FRM02521,Farmer 2521,Kano,9
FRM02522,Farmer 2522,Bauchi,32
FRM02523,Farmer 2523,Oyo,23
FRM02524,Farmer 2524,Oyo,31
FRM02525,Farmer 2525,Enugu,33
FRM02526,Farmer 2526,Kano,7
FRM02527,Farmer 2527,Benue,15
FRM02528,Farmer 2528,Kaduna,19
FRM02529,Farmer 2529,Kano,34
FRM02530,Farmer 2530,Kaduna,38
FRM02531,Farmer 2531,Plateau,31
FRM02532,Farmer 2532,Enugu,26
FRM02533,Farmer 2533,Enugu,33
FRM02534,Farmer 2534,Kaduna,20
FRM02535,Farmer 2535,Kano,26
FRM02536,Farmer 2536,Kano,6
FRM02537,Farmer 2537,Plateau,10
FRM02538,Farmer 2538,Kaduna,4
FRM02539,Farmer 2539,Niger,2
FRM02540,Farmer 2540,Kaduna,39
FRM02541,Farmer 2541,Enugu,20
FRM02542,Farmer 2542,Benue,22
FRM02543,Farmer 2543,Benue,26
FRM02544,Farmer 2544,Niger,7
FRM02545,Farmer 2545,Ogun,36
FRM02546,Farmer 2546,Oyo,29
FRM02547,Farmer 2547,Kano,8
FRM02548,Farmer 2548,Kano,16
FRM02549,Farmer 2549,Nasarawa,29
FRM02550,Farmer 2550,Benue,22
FRM02551,Farmer 2551,Benue,24
FRM02552,Farmer 2552,Kaduna,17
FRM02553,Farmer 2553,Kaduna,1
FRM02554,Farmer 2554,Bauchi,20
FRM02555,Farmer 2555,Oyo,15
FRM02556,Farmer 2556,Benue,39
FRM02557,Farmer 2557,Niger,2
FRM02558,Farmer 2558,Nasarawa,33
FRM02559,Farmer 2559,Benue,24
FRM02560,Farmer 2560,Nasarawa,30
FRM02561,Farmer 2561,Bauchi,18
FRM02562,Farmer 2562,Kaduna,21
FRM02563,Farmer 2563,Niger,5
FRM02564,Farmer 2564,Bauchi,16
FRM02565,Farmer 2565,Niger,29
FRM02566,Farmer 2566,Kano,21
FRM02567,Farmer 2567,Oyo,36
FRM02568,Farmer 2568,Plateau,27
FRM02569,Farmer 2569,Benue,3
FRM02570,Farmer 2570,Nasarawa,33
FRM02571,Farmer 2571,Niger,19
FRM02572,Farmer 2572,Niger,25
FRM02573,Farmer 2573,Oyo,26
FRM02574,Farmer 2574,Kaduna,39
FRM02575,Farmer 2575,Nasarawa,14
FRM02576,Farmer 2576,Plateau,16
FRM02577,Farmer 2577,Benue,14
FRM02578,Farmer 2578,Oyo,37
FRM02579,Farmer 2579,Niger,29
FRM02580,Farmer 2580,Ogun,14
FRM02581,Farmer 2581,Bauchi,7
FRM02582,Farmer 2582,Plateau,1
FRM02583,Farmer 2583,Ogun,3
FRM02584,Farmer 2584,Nasarawa,17
FRM02585,Farmer 2585,Plateau,19
FRM02586,Farmer 2586,Oyo,22
FRM02587,Farmer 2587,Nasarawa,18
FRM02588,Farmer 2588,Benue,9
FRM02589,Farmer 2589,Bauchi,27
FRM02590,Farmer 2590,Kano,21
FRM02591,Farmer 2591,Ogun,29
FRM02592,Farmer 2592,Nasarawa,8
FRM02593,Farmer 2593,Plateau,5
FRM02594,Farmer 2594,Bauchi,33
FRM02595,Farmer 2595,Kano,26
FRM02596,Farmer 2596,Plateau,22
FRM02597,Farmer 2597,Niger,3
FRM02598,Farmer 2598,Ogun,16
FRM02599,Farmer 2599,Kano,9
FRM02600,Farmer 2600,Ogun,8
FRM02601,Farmer 2601,Plateau,31
FRM02602,Farmer 2602,Nasarawa,12
FRM02603,Farmer 2603,Nasarawa,34
FRM02604,Farmer 2604,Kaduna,30
FRM02605,Farmer 2605,Oyo,23
FRM02606,Farmer 2606,Niger,19
FRM02607,Farmer 2607,Kano,25
FRM02608,Farmer 2608,Oyo,36
FRM02609,Farmer 2609,Kano,21
FRM02610,Farmer 2610,Benue,6
FRM02611,Farmer 2611,Kaduna,36
FRM02612,Farmer 2612,Oyo,4
FRM02613,Farmer 2613,Benue,29
FRM02614,Farmer 2614,Kaduna,11
FRM02615,Farmer 2615,Niger,18
FRM02616,Farmer 2616,Kaduna,40
FRM02617,Farmer 2617,Ogun,5
FRM02618,Farmer 2618,Bauchi,13
FRM02619,Farmer 2619,Enugu,3
FRM02620,Farmer 2620,Oyo,9
FRM02621,Farmer 2621,Niger,7
FRM02622,Farmer 2622,Bauchi,2
FRM02623,Farmer 2623,Bauchi,22
FRM02624,Farmer 2624,Kaduna,36
FRM02625,Farmer 2625,Niger,13
FRM02626,Farmer 2626,Benue,15
FRM02627,Farmer 2627,Kano,7
FRM02628,Farmer 2628,Ogun,11
FRM02629,Farmer 2629,Bauchi,10
FRM02630,Farmer 2630,Plateau,22
FRM02631,Farmer 2631,Ogun,21
FRM02632,Farmer 2632,Kaduna,24
FRM02633,Farmer 2633,Benue,1
FRM02634,Farmer 2634,Kaduna,38
FRM02635,Farmer 2635,Plateau,36
FRM02636,Farmer 2636,Kano,11
FRM02637,Farmer 2637,Nasarawa,16
FRM02638,Farmer 2638,Oyo,18
FRM02639,Farmer 2639,Bauchi,22
FRM02640,Farmer 2640,Benue,2
FRM02641,Farmer 2641,Plateau,25
FRM02642,Farmer 2642,Nasarawa,25
FRM02643,Farmer 2643,Ogun,8
FRM02644,Farmer 2644,Kano,28
FRM02645,Farmer 2645,Benue,6
FRM02646,Farmer 2646,Niger,9
FRM02647,Farmer 2647,Benue,17
FRM02648,Farmer 2648,Plateau,27
FRM02649,Farmer 2649,Kano,6
FRM02650,Farmer 2650,Nasarawa,6
FRM02651,Farmer 2651,Nasarawa,32
FRM02652,Farmer 2652,Bauchi,20
FRM02653,Farmer 2653,Plateau,26
FRM02654,Farmer 2654,Benue,26
FRM02655,Farmer 2655,Nasarawa,3
FRM02656,Farmer 2656,Oyo,14
FRM02657,Farmer 2657,Niger,3
FRM02658,Farmer 2658,Plateau,22
FRM02659,Farmer 2659,Enugu,21
FRM02660,Farmer 2660,Ogun,7
FRM02661,Farmer 2661,Nasarawa,28
FRM02662,Farmer 2662,Kano,29
FRM02663,Farmer 2663,Kano,39
FRM02664,Farmer 2664,Plateau,24
FRM02665,Farmer 2665,Niger,27
FRM02666,Farmer 2666,Niger,29
FRM02667,Farmer 2667,Ogun,23
FRM02668,Farmer 2668,Plateau,2
FRM02669,Farmer 2669,Ogun,22
FRM02670,Farmer 2670,Kano,29
FRM02671,Farmer 2671,Enugu,16
FRM02672,Farmer 2672,Bauchi,37
FRM02673,Farmer 2673,Oyo,33
FRM02674,Farmer 2674,Oyo,15
FRM02675,Farmer 2675,Plateau,20
FRM02676,Farmer 2676,Bauchi,1
FRM02677,Farmer 2677,Bauchi,25
FRM02678,Farmer 2678,Plateau,40
FRM02679,Farmer 2679,Nasarawa,27
FRM02680,Farmer 2680,Nasarawa,28
FRM02681,Farmer 2681,Ogun,15
FRM02682,Farmer 2682,Enugu,13
FRM02683,Farmer 2683,Kano,29
FRM02684,Farmer 2684,Oyo,11
FRM02685,Farmer 2685,Benue,35
FRM02686,Farmer 2686,Bauchi,36
FRM02687,Farmer 2687,Kaduna,35
FRM02688,Farmer 2688,Enugu,10
FRM02689,Farmer 2689,Ogun,22
FRM02690,Farmer 2690,Kano,30
FRM02691,Farmer 2691,Enugu,32
FRM02692,Farmer 2692,Kano,1
FRM02693,Farmer 2693,Benue,35
FRM02694,Farmer 2694,Bauchi,9
FRM02695,Farmer 2695,Oyo,5
FRM02696,Farmer 2696,Ogun,3
FRM02697,Farmer 2697,Kaduna,32
FRM02698,Farmer 2698,Enugu,32
FRM02699,Farmer 2699,Nasarawa,32
FRM02700,Farmer 2700,Niger,7
FRM02701,Farmer 2701,Enugu,39
FRM02702,Farmer 2702,Kano,19
FRM02703,Farmer 2703,Bauchi,16
FRM02704,Farmer 2704,Benue,16
FRM02705,Farmer 2705,Kaduna,22
FRM02706,Farmer 2706,Oyo,27
FRM02707,Farmer 2707,Enugu,10
FRM02708,Farmer 2708,Enugu,8
FRM02709,Farmer 2709,Enugu,21
FRM02710,Farmer 2710,Plateau,34
FRM02711,Farmer 2711,Benue,16
FRM02712,Farmer 2712,Enugu,8
FRM02713,Farmer 2713,Kaduna,12
FRM02714,Farmer 2714,Enugu,29
FRM02715,Farmer 2715,Oyo,30
FRM02716,Farmer 2716,Ogun,25
FRM02717,Farmer 2717,Niger,17
FRM02718,Farmer 2718,Benue,33
FRM02719,Farmer 2719,Plateau,27
FRM02720,Farmer 2720,Niger,40
FRM02721,Farmer 2721,Enugu,14
FRM02722,Farmer 2722,Oyo,29
FRM02723,Farmer 2723,Enugu,2
FRM02724,Farmer 2724,Oyo,8
FRM02725,Farmer 2725,Enugu,30
FRM02726,Farmer 2726,Niger,20
FRM02727,Farmer 2727,Oyo,17
FRM02728,Farmer 2728,Plateau,12
FRM02729,Farmer 2729,Kaduna,37
FRM02730,Farmer 2730,Nasarawa,37
FRM02731,Farmer 2731,Oyo,7
FRM02732,Farmer 2732,Benue,9
FRM02733,Farmer 2733,Kaduna,31
FRM02734,Farmer 2734,Nasarawa,36
FRM02735,Farmer 2735,Benue,17
FRM02736,Farmer 2736,Plateau,21
FRM02737,Farmer 2737,Kano,12
FRM02738,Farmer 2738,Nasarawa,23
FRM02739,Farmer 2739,Bauchi,14
FRM02740,Farmer 2740,Nasarawa,14
FRM02741,Farmer 2741,Enugu,36
FRM02742,Farmer 2742,Plateau,21
FRM02743,Farmer 2743,Benue,6
FRM02744,Farmer 2744,Enugu,34
FRM02745,Farmer 2745,Niger,29
FRM02746,Farmer 2746,Niger,38
FRM02747,Farmer 2747,Oyo,25
FRM02748,Farmer 2748,Nasarawa,11
FRM02749,Farmer 2749,Niger,18
FRM02750,Farmer 2750,Ogun,3
FRM02751,Farmer 2751,Kano,2
FRM02752,Farmer 2752,Enugu,39
FRM02753,Farmer 2753,Kano,15
FRM02754,Farmer 2754,Niger,35
FRM02755,Farmer 2755,Bauchi,24
FRM02756,Farmer 2756,Ogun,29
FRM02757,Farmer 2757,Kaduna,18
FRM02758,Farmer 2758,Kano,13
FRM02759,Farmer 2759,Oyo,32
FRM02760,Farmer 2760,Plateau,9
FRM02761,Farmer 2761,Kaduna,4
FRM02762,Farmer 2762,Plateau,29
FRM02763,Farmer 2763,Bauchi,14
FRM02764,Farmer 2764,Kano,6
FRM02765,Farmer 2765,Enugu,23
FRM02766,Farmer 2766,Nasarawa,14
FRM02767,Farmer 2767,Ogun,31
FRM02768,Farmer 2768,Nasarawa,3
FRM02769,Farmer 2769,Kano,13
FRM02770,Farmer 2770,Kano,11
FRM02771,Farmer 2771,Plateau,13
FRM02772,Farmer 2772,Enugu,11
FRM02773,Farmer 2773,Plateau,28
FRM02774,Farmer 2774,Ogun,7
FRM02775,Farmer 2775,Plateau,32
FRM02776,Farmer 2776,Plateau,26
FRM02777,Farmer 2777,Niger,30
FRM02778,Farmer 2778,Bauchi,7
FRM02779,Farmer 2779,Kano,15
FRM02780,Farmer 2780,Plateau,24
FRM02781,Farmer 2781,Bauchi,14
FRM02782,Farmer 2782,Benue,35
FRM02783,Farmer 2783,Benue,12
FRM02784,Farmer 2784,Kano,32
FRM02785,Farmer 2785,Ogun,8
FRM02786,Farmer 2786,Oyo,36
FRM02787,Farmer 2787,Kaduna,13
FRM02788,Farmer 2788,Plateau,2
FRM02789,Farmer 2789,Ogun,37
FRM02790,Farmer 2790,Ogun,20
FRM02791,Farmer 2791,Bauchi,40
FRM02792,Farmer 2792,Kaduna,24
FRM02793,Farmer 2793,Oyo,11
FRM02794,Farmer 2794,Kaduna,5
FRM02795,Farmer 2795,Plateau,3
FRM02796,Farmer 2796,Niger,15
FRM02797,Farmer 2797,Kano,11
FRM02798,Farmer 2798,Oyo,23
FRM02799,Farmer 2799,Plateau,37
FRM02800,Farmer 2800,Kano,8
FRM02801,Farmer 2801,Kaduna,16
FRM02802,Farmer 2802,Kano,25
FRM02803,Farmer 2803,Bauchi,21
FRM02804,Farmer 2804,Enugu,16
FRM02805,Farmer 2805,Bauchi,18
FRM02806,Farmer 2806,Enugu,37
FRM02807,Farmer 2807,Kano,22
FRM02808,Farmer 2808,Ogun,33
FRM02809,Farmer 2809,Plateau,10
FRM02810,Farmer 2810,Niger,11
FRM02811,Farmer 2811,Enugu,10
FRM02812,Farmer 2812,Bauchi,23
FRM02813,Farmer 2813,Plateau,38
FRM02814,Farmer 2814,Benue,13
FRM02815,Farmer 2815,Plateau,15
FRM02816,Farmer 2816,Kano,33
FRM02817,Farmer 2817,Bauchi,8
FRM02818,Farmer 2818,Kaduna,23
FRM02819,Farmer 2819,Nasarawa,16
FRM02820,Farmer 2820,Niger,17
FRM02821,Farmer 2821,Niger,28
FRM02822,Farmer 2822,Ogun,8
FRM02823,Farmer 2823,Ogun,16
FRM02824,Farmer 2824,Bauchi,5
FRM02825,Farmer 2825,Ogun,15
FRM02826,Farmer 2826,Plateau,31
FRM02827,Farmer 2827,Ogun,28
FRM02828,Farmer 2828,Oyo,32
FRM02829,Farmer 2829,Oyo,18
FRM02830,Farmer 2830,Benue,26
FRM02831,Farmer 2831,Kaduna,28
FRM02832,Farmer 2832,Bauchi,11
FRM02833,Farmer 2833,Kaduna,7
FRM02834,Farmer 2834,Plateau,10
FRM02835,Farmer 2835,Niger,6
FRM02836,Farmer 2836,Kaduna,2
FRM02837,Farmer 2837,Niger,13
FRM02838,Farmer 2838,Niger,37
FRM02839,Farmer 2839,Kaduna,17
FRM02840,Farmer 2840,Ogun,34
FRM02841,Farmer 2841,Oyo,18
FRM02842,Farmer 2842,Ogun,19
FRM02843,Farmer 2843,Bauchi,18
FRM02844,Farmer 2844,Benue,39
FRM02845,Farmer 2845,Plateau,16
FRM02846,Farmer 2846,Kaduna,19
FRM02847,Farmer 2847,Kaduna,20
FRM02848,Farmer 2848,Kaduna,32
FRM02849,Farmer 2849,Benue,19
FRM02850,Farmer 2850,Kaduna,27
FRM02851,Farmer 2851,Nasarawa,25
FRM02852,Farmer 2852,Benue,29
FRM02853,Farmer 2853,Kaduna,37
FRM02854,Farmer 2854,Oyo,30
FRM02855,Farmer 2855,Ogun,35
FRM02856,Farmer 2856,Benue,31
FRM02857,Farmer 2857,Enugu,29
FRM02858,Farmer 2858,Benue,38
FRM02859,Farmer 2859,Ogun,31
FRM02860,Farmer 2860,Bauchi,9
FRM02861,Farmer 2861,Oyo,26
FRM02862,Farmer 2862,Bauchi,14
FRM02863,Farmer 2863,Niger,19
FRM02864,Farmer 2864,Enugu,7
FRM02865,Farmer 2865,Kano,6
FRM02866,Farmer 2866,Ogun,10
FRM02867,Farmer 2867,Niger,29
FRM02868,Farmer 2868,Nasarawa,35
FRM02869,Farmer 2869,Kano,26
FRM02870,Farmer 2870,Enugu,30
FRM02871,Farmer 2871,Ogun,19
FRM02872,Farmer 2872,Enugu,25
FRM02873,Farmer 2873,Oyo,28
FRM02874,Farmer 2874,Ogun,22
FRM02875,Farmer 2875,Kaduna,13
FRM02876,Farmer 2876,Ogun,39
FRM02877,Farmer 2877,Benue,16
FRM02878,Farmer 2878,Nasarawa,12
FRM02879,Farmer 2879,Kano,24
FRM02880,Farmer 2880,Bauchi,11
FRM02881,Farmer 2881,Plateau,13
FRM02882,Farmer 2882,Enugu,21
FRM02883,Farmer 2883,Kaduna,4
FRM02884,Farmer 2884,Plateau,22
FRM02885,Farmer 2885,Niger,13
FRM02886,Farmer 2886,Bauchi,36
FRM02887,Farmer 2887,Niger,35
FRM02888,Farmer 2888,Enugu,21
FRM02889,Farmer 2889,Enugu,2
FRM02890,Farmer 2890,Nasarawa,26
FRM02891,Farmer 2891,Nasarawa,39
FRM02892,Farmer 2892,Niger,34
FRM02893,Farmer 2893,Nasarawa,29
FRM02894,Farmer 2894,Nasarawa,37
FRM02895,Farmer 2895,Kaduna,39
FRM02896,Farmer 2896,Bauchi,2
FRM02897,Farmer 2897,Nasarawa,7
FRM02898,Farmer 2898,Bauchi,21
FRM02899,Farmer 2899,Niger,33
FRM02900,Farmer 2900,Benue,2
FRM02901,Farmer 2901,Benue,19
FRM02902,Farmer 2902,Nasarawa,30
FRM02903,Farmer 2903,Oyo,13
FRM02904,Farmer 2904,Plateau,3
FRM02905,Farmer 2905,Plateau,19
FRM02906,Farmer 2906,Kaduna,14
FRM02907,Farmer 2907,Nasarawa,39
