region,station,rainfall_mm,temperature_c,humidity_pct
Plateau,WX036,256,30.3,78
Kano,WX008,123,37.3,42
Kaduna,WX003,45,30.9,36
Kaduna,WX022,91,37.3,43
Nasarawa,WX004,87,27.3,56
Kano,WX010,254,30.1,81
Kano,WX039,90,22.5,45
Plateau,WX021,178,25.4,44
Niger,WX040,231,37.9,77
Kaduna,WX012,236,32.2,30
Nasarawa,WX003,159,33.2,35
Nasarawa,WX015,257,33.3,40
Ogun,WX026,101,20.4,35
Bauchi,WX024,232,34.1,60
Bauchi,WX027,64,37.3,90
Ogun,WX012,251,35.5,89
Plateau,WX036,46,19.8,77
Kaduna,WX033,96,23.2,66
Enugu,WX013,154,36.2,36
Niger,WX027,203,29.4,37
Plateau,WX035,195,29.3,62
Nasarawa,WX002,178,18.7,49
Nasarawa,WX025,233,27.0,65
Benue,WX012,174,28.8,43
Niger,WX016,74,25.4,82
Niger,WX032,221,26.6,49
Niger,WX011,248,32.1,73
Niger,WX003,236,27.8,66
Kano,WX015,204,27.6,68
Oyo,WX015,92,20.8,73
Bauchi,WX002,124,30.0,92
Ogun,WX024,126,29.2,58
Enugu,WX030,183,30.5,50
Niger,WX019,118,28.2,87
Benue,WX023,109,36.7,65
Kano,WX002,142,28.6,90
Benue,WX017,132,36.8,70
Enugu,WX016,182,27.5,80
Benue,WX027,136,20.2,36
Bauchi,WX027,135,33.9,49
Ogun,WX029,156,18.5,94
Ogun,WX037,97,25.9,60
Plateau,WX023,252,33.3,91
Plateau,WX020,234,35.6,36
Oyo,WX028,143,20.2,33
Benue,WX008,184,21.8,31
Oyo,WX002,260,28.7,50
Kaduna,WX012,60,19.4,38
Niger,WX002,238,29.5,61
Bauchi,WX029,113,33.1,71
Kano,WX021,155,27.7,86
Plateau,WX002,198,30.6,79
Enugu,WX030,99,35.4,52
Enugu,WX033,252,21.8,77
Plateau,WX010,56,23.7,37
Oyo,WX037,157,23.5,77
Kano,WX035,153,20.9,38
Kano,WX010,197,37.3,94
Plateau,WX001,158,32.7,83
Nasarawa,WX006,188,26.9,53
Kaduna,WX033,84,27.2,33
Ogun,WX018,106,24.8,51
Bauchi,WX003,246,26.5,72
Ogun,WX023,209,20.6,87
Plateau,WX040,94,34.1,59
Ogun,WX019,80,27.4,86
Kaduna,WX038,138,34.4,89
Enugu,WX038,61,32.2,73
Nasarawa,WX002,116,27.8,95
Kaduna,WX035,120,24.6,75
Bauchi,WX018,126,18.7,66
Niger,WX013,179,26.7,31
Nasarawa,WX019,94,20.4,79
Plateau,WX032,200,22.8,33
Benue,WX015,260,24.2,43
Oyo,WX023,186,34.4,86
Benue,WX015,186,19.9,51
Oyo,WX020,239,30.7,43
Bauchi,WX029,90,19.7,54
Plateau,WX034,245,37.1,31
Plateau,WX027,65,34.5,60
Ogun,WX012,84,37.9,40
Oyo,WX029,135,18.6,52
Ogun,WX026,117,18.6,88
Niger,WX011,208,29.4,92
Oyo,WX025,169,18.6,34
Enugu,WX017,91,38.3,61
Nasarawa,WX011,71,26.9,34
Bauchi,WX021,53,35.9,36
Nasarawa,WX020,97,24.9,72
Enugu,WX008,101,36.0,75
Oyo,WX033,64,34.4,53
Enugu,WX028,60,32.1,79
Kano,WX034,213,36.7,36
Bauchi,WX027,70,34.5,66
Benue,WX040,152,24.2,88
Niger,WX004,67,38.3,69
Kaduna,WX033,153,38.3,56
Bauchi,WX001,72,36.3,74
Plateau,WX031,146,22.2,88
Kano,WX015,254,38.8,94
Bauchi,WX002,210,28.4,77
Enugu,WX005,78,32.1,81
Enugu,WX004,115,20.9,59
Niger,WX034,89,21.9,70
Kaduna,WX004,255,20.1,81
Enugu,WX030,107,27.8,57
Nasarawa,WX003,103,24.2,91
Nasarawa,WX002,84,28.8,77
Plateau,WX035,133,28.0,56
Bauchi,WX034,228,38.6,65
Benue,WX016,128,26.8,86
Enugu,WX014,118,28.3,84
Niger,WX015,159,23.6,83
Bauchi,WX005,200,20.4,85
Enugu,WX017,196,36.2,49
Nasarawa,WX014,87,38.1,51
Nasarawa,WX025,121,38.0,82
Bauchi,WX009,41,28.4,94
Plateau,WX014,185,18.9,53
Benue,WX011,253,29.3,83
Nasarawa,WX016,75,22.3,66
Enugu,WX015,50,37.0,46
Enugu,WX035,202,25.8,36
Kaduna,WX024,160,19.1,33
Enugu,WX030,112,35.8,65
Benue,WX004,218,26.5,73
Plateau,WX003,247,37.3,50
Benue,WX016,109,33.9,49
Kano,WX029,156,37.2,56
Enugu,WX026,230,34.9,30
Plateau,WX003,246,29.4,84
Plateau,WX020,158,34.7,87
Kaduna,WX034,94,32.8,77
Ogun,WX018,126,38.5,36
Oyo,WX021,133,27.3,85
Ogun,WX003,138,32.2,88
Benue,WX020,99,31.1,61
Benue,WX020,77,27.2,87
Oyo,WX009,56,24.4,69
Enugu,WX020,76,34.1,90
Ogun,WX038,70,21.8,79
Enugu,WX031,82,34.6,74
Ogun,WX021,141,32.6,72
Benue,WX016,178,24.8,84
Nasarawa,WX013,209,26.1,83
Kaduna,WX032,252,28.8,57
Kaduna,WX017,124,24.6,49
Benue,WX011,164,34.5,64
Nasarawa,WX006,55,25.7,93
Plateau,WX011,84,32.9,30
Benue,WX012,113,38.1,93
Kano,WX023,54,33.3,70
Ogun,WX004,211,25.2,39
Bauchi,WX008,180,26.3,48
Kaduna,WX037,165,29.2,75
Plateau,WX022,76,20.0,41
Kano,WX038,109,30.1,60
Ogun,WX008,85,36.9,83
Kaduna,WX029,154,28.7,36
Bauchi,WX035,185,35.6,50
Ogun,WX027,145,35.1,36
Ogun,WX001,166,19.9,59
Bauchi,WX008,174,29.5,80
Enugu,WX007,190,26.3,89
Niger,WX002,176,35.2,68
Benue,WX025,205,19.8,44
Enugu,WX034,103,36.0,74
Enugu,WX001,131,34.8,36
Enugu,WX021,244,27.9,72
Kano,WX019,183,30.6,42
Niger,WX029,222,35.4,37
Bauchi,WX006,115,32.3,48
Niger,WX037,128,29.7,42
Kaduna,WX038,127,21.6,55
Nasarawa,WX038,131,35.3,84
Ogun,WX010,206,33.5,88
Plateau,WX022,164,21.4,57
Kano,WX019,95,26.7,57
Kano,WX031,205,27.7,72
Kaduna,WX036,140,32.1,43
Plateau,WX027,93,21.8,36
Ogun,WX027,181,23.7,43
Bauchi,WX016,191,25.8,58
Oyo,WX032,195,23.3,38
Oyo,WX007,130,19.3,81
Nasarawa,WX023,173,34.9,59
Niger,WX021,141,27.0,48
Kaduna,WX006,258,37.6,94
Nasarawa,WX018,178,21.2,76
Niger,WX004,77,29.4,37
Kaduna,WX005,255,37.6,67
Kaduna,WX029,146,22.5,90
Enugu,WX013,48,31.0,72
Kano,WX022,192,22.5,34
Benue,WX006,260,38.7,41
Enugu,WX036,206,29.3,43
Ogun,WX001,58,21.4,91
Kaduna,WX029,105,36.7,85
Niger,WX002,202,23.1,67
Benue,WX034,188,21.8,45
Ogun,WX013,137,24.0,77
Niger,WX033,219,38.7,83
Bauchi,WX026,205,21.2,87
Enugu,WX018,59,34.2,69
Ogun,WX017,201,34.0,40
Oyo,WX006,222,29.8,60
Kaduna,WX012,91,36.2,70
Plateau,WX027,195,20.5,66
Nasarawa,WX040,232,26.2,81
Kaduna,WX012,41,31.2,31
Enugu,WX008,222,19.9,93
Ogun,WX006,40,38.1,82
Oyo,WX001,202,31.2,35
Nasarawa,WX011,115,29.4,85
Niger,WX031,250,27.2,56
Plateau,WX021,224,23.8,51
Ogun,WX019,168,30.1,31
Nasarawa,WX006,101,25.5,64
Kaduna,WX040,223,29.7,63
Ogun,WX008,191,25.5,81
Benue,WX022,54,24.1,68
Nasarawa,WX017,256,37.4,77
Kaduna,WX028,208,33.7,89
Enugu,WX001,171,36.6,78
Bauchi,WX007,239,39.0,62
Nasarawa,WX023,213,33.0,43
Niger,WX034,211,19.4,58
Kaduna,WX024,90,24.3,45
Niger,WX037,177,31.8,70
Oyo,WX004,155,29.7,61
Ogun,WX005,173,29.3,40
Plateau,WX022,190,18.8,70
Plateau,WX004,91,22.4,61
Oyo,WX032,189,38.5,82
Ogun,WX002,194,18.9,66
Kaduna,WX005,143,18.9,42
Enugu,WX032,196,34.2,38
Bauchi,WX040,163,27.7,75
Benue,WX033,235,24.2,63
Kano,WX022,68,28.8,46
Nasarawa,WX023,175,29.0,94
Kano,WX005,238,18.3,84
Nasarawa,WX004,164,22.2,86
Plateau,WX031,83,25.7,57
Kaduna,WX020,150,24.9,94
Plateau,WX015,194,34.0,84
Enugu,WX035,66,34.8,83
Benue,WX033,100,35.7,94
Nasarawa,WX006,47,20.1,61
Enugu,WX019,246,22.6,75
Enugu,WX039,85,37.4,37
Bauchi,WX027,137,27.9,46
Nasarawa,WX019,109,23.3,77
Kaduna,WX033,95,21.9,52
Niger,WX015,163,25.4,41
Enugu,WX010,121,22.8,32
Plateau,WX029,102,30.3,75
Bauchi,WX036,246,29.7,51
Oyo,WX031,149,21.0,80
Benue,WX020,98,24.0,55
Oyo,WX034,181,31.2,52
Oyo,WX018,195,19.5,67
Plateau,WX009,81,34.2,38
Kano,WX026,72,34.9,88
Niger,WX021,182,32.7,47
Plateau,WX034,101,20.3,79
Nasarawa,WX004,138,23.8,80
Bauchi,WX026,148,38.8,92
Nasarawa,WX028,178,24.3,42
Bauchi,WX004,156,33.3,65
Kano,WX003,251,34.6,36
Kano,WX003,219,35.6,93
Kano,WX037,237,31.7,93
Kano,WX018,61,31.0,48
Enugu,WX026,174,21.9,49
Enugu,WX020,154,36.7,84
Kano,WX008,182,18.5,73
Enugu,WX027,180,33.0,83
Benue,WX010,243,20.6,42
Nasarawa,WX012,225,25.4,52
Enugu,WX040,140,19.4,90
Nasarawa,WX002,99,22.2,69
Kaduna,WX020,168,25.1,47
Bauchi,WX008,136,38.5,45
Niger,WX021,217,32.7,60
Kano,WX011,242,29.7,79
Benue,WX032,83,28.0,73
Ogun,WX017,174,20.1,38
Nasarawa,WX034,219,29.1,83
Ogun,WX022,42,30.2,38
Plateau,WX015,48,36.1,44
Kano,WX033,142,36.6,42
Nasarawa,WX016,155,38.6,86
Niger,WX013,258,22.4,31
Bauchi,WX036,87,18.8,73
Bauchi,WX037,140,18.5,52
Benue,WX012,124,23.2,56
Ogun,WX005,160,19.9,30
Ogun,WX023,134,21.3,91
Nasarawa,WX007,167,22.9,58
Bauchi,WX007,91,28.0,39
Kaduna,WX007,136,20.0,48
Enugu,WX007,246,32.1,53
Benue,WX024,81,37.0,43
Bauchi,WX037,148,38.3,47
Oyo,WX028,132,30.8,77
Kano,WX013,63,37.1,70
Oyo,WX011,256,19.6,30
Enugu,WX015,44,30.3,76
Oyo,WX018,135,35.4,81
Kano,WX009,148,19.3,57
Kaduna,WX010,145,32.0,75
Kano,WX001,189,37.8,77
Niger,WX002,47,18.9,45
Kaduna,WX018,106,32.0,92
Nasarawa,WX017,64,24.4,45
Ogun,WX004,134,33.2,34
Benue,WX022,61,36.2,73
Benue,WX025,236,31.3,34
Bauchi,WX003,176,28.3,42
Kaduna,WX004,221,21.3,48
Oyo,WX026,156,19.1,49
Oyo,WX034,250,23.6,56
Oyo,WX018,122,20.7,46
Enugu,WX005,85,33.0,87
Oyo,WX020,110,33.6,83
Ogun,WX032,214,21.5,53
Kano,WX024,141,20.9,85
Benue,WX030,222,37.2,67
Nasarawa,WX033,170,27.1,87
Nasarawa,WX026,164,25.0,73
Benue,WX002,210,36.4,56
Nasarawa,WX030,42,32.3,34
Oyo,WX001,151,21.9,77
Enugu,WX025,106,25.1,50
Nasarawa,WX032,174,34.2,38
Plateau,WX023,86,29.2,40
Ogun,WX018,107,30.3,32
Bauchi,WX010,85,37.2,46
Niger,WX034,106,36.1,84
Plateau,WX028,138,27.7,93
Kano,WX011,144,34.2,42
Plateau,WX006,238,31.1,42
Benue,WX016,48,32.2,75
Ogun,WX040,208,23.6,40
Bauchi,WX010,205,23.7,81
Enugu,WX001,107,31.2,39
Nasarawa,WX004,42,29.8,78
Kano,WX009,227,20.4,86
Niger,WX010,243,30.2,90
Nasarawa,WX029,202,29.2,89
Kaduna,WX002,160,39.0,52
Plateau,WX017,55,19.6,60
Bauchi,WX014,115,32.4,72
Kaduna,WX034,227,28.1,33
Niger,WX025,158,22.3,59
Kano,WX038,218,30.9,84
Plateau,WX007,51,33.8,63
Oyo,WX017,166,38.9,41
Niger,WX005,68,22.7,47
Oyo,WX014,59,19.0,73
Niger,WX034,174,23.6,33
Nasarawa,WX027,95,28.3,34
Nasarawa,WX037,212,28.0,84
Niger,WX003,76,32.6,56
Niger,WX016,57,33.1,52
Kaduna,WX019,250,23.2,69
Benue,WX017,148,19.1,47
Ogun,WX002,52,32.4,75
Kano,WX013,124,32.9,76
Benue,WX038,256,34.9,93
Oyo,WX027,142,34.8,86
Plateau,WX008,252,32.2,69
Kano,WX040,69,34.3,93
Bauchi,WX018,194,25.7,63
Oyo,WX017,188,27.2,45
Kaduna,WX017,168,22.0,75
Bauchi,WX027,78,38.2,32
Oyo,WX005,134,25.8,47
Kaduna,WX034,218,24.1,52
Niger,WX007,46,30.1,56
Oyo,WX009,62,27.4,80
Kano,WX004,186,20.3,57
Bauchi,WX039,86,32.1,48
Ogun,WX012,63,34.2,54
Kaduna,WX014,111,28.4,79
Bauchi,WX016,237,25.8,60
Benue,WX036,212,29.3,41
Enugu,WX038,40,34.5,88
Bauchi,WX007,175,20.7,31
Kano,WX025,206,38.1,61
Oyo,WX029,103,32.0,91
Plateau,WX018,260,18.5,81
Kaduna,WX006,183,33.5,32
Niger,WX028,68,28.1,69
Bauchi,WX020,99,26.8,49
Kaduna,WX026,72,34.9,88
Enugu,WX018,223,30.6,40
Kaduna,WX003,91,33.6,69
Plateau,WX040,219,24.0,81
Enugu,WX032,114,27.2,54
Nasarawa,WX020,259,23.7,86
Bauchi,WX024,230,22.2,37
Kano,WX036,113,37.1,61
Enugu,WX010,168,28.0,82
Niger,WX039,206,20.1,61
Kano,WX001,79,37.8,82
Plateau,WX015,181,32.0,43
Nasarawa,WX029,156,32.0,92
Plateau,WX024,43,23.8,38
Kano,WX039,259,29.6,82
Niger,WX028,117,28.6,40
Bauchi,WX024,234,26.1,44
Enugu,WX020,70,31.6,41
Bauchi,WX007,248,20.6,66
Benue,WX039,226,27.6,79
Niger,WX007,235,19.8,47
Bauchi,WX021,113,23.6,48
Kano,WX015,42,29.4,93
Kano,WX039,55,21.5,87
Ogun,WX008,250,27.9,53
Ogun,WX033,114,29.4,56
Benue,WX030,167,30.0,69
Nasarawa,WX040,127,32.9,33
Nasarawa,WX034,67,29.6,61
Bauchi,WX002,172,23.9,73
Benue,WX012,99,26.8,36
Benue,WX030,49,26.0,35
Bauchi,WX023,151,31.0,33
Ogun,WX005,75,23.3,73
Enugu,WX037,156,36.2,73
Benue,WX027,133,29.4,56
Enugu,WX014,156,21.9,73
Kano,WX012,254,25.6,71
Kano,WX024,200,19.5,93
Plateau,WX007,97,38.6,83
Benue,WX013,95,23.2,51
Kaduna,WX023,240,21.5,40
Nasarawa,WX004,231,36.6,62
Kaduna,WX018,181,21.0,68
Oyo,WX033,74,24.9,66
Bauchi,WX028,46,28.3,79
Ogun,WX039,254,33.3,65
Benue,WX036,63,25.0,85
Niger,WX033,205,25.6,76
Enugu,WX014,225,29.2,76
Bauchi,WX005,245,34.2,90
Kano,WX006,127,30.9,87
Benue,WX006,108,22.9,48
Ogun,WX017,203,35.1,95
Oyo,WX007,191,38.8,68
Kano,WX019,227,22.4,41
Enugu,WX030,214,22.0,86
Benue,WX022,225,23.3,93
Benue,WX001,83,36.1,57
Kano,WX029,239,22.7,57
Kano,WX016,175,27.6,92
Kaduna,WX009,97,21.6,55
Niger,WX027,121,32.8,85
Nasarawa,WX024,101,23.3,84
Niger,WX018,111,22.3,39
Ogun,WX034,179,26.1,55
Plateau,WX028,142,31.0,43
Enugu,WX009,62,25.2,92
Kano,WX022,189,27.1,91
Oyo,WX035,55,30.7,66
Nasarawa,WX013,119,25.7,85
Enugu,WX013,74,38.4,91
Benue,WX012,112,27.1,35
Kano,WX017,114,24.8,87
Nasarawa,WX010,133,33.9,94
Benue,WX015,88,29.3,62
Oyo,WX039,219,26.9,49
Oyo,WX010,43,26.7,67
Kaduna,WX032,245,27.4,56
Bauchi,WX012,120,36.3,93
Oyo,WX036,127,21.3,70
Nasarawa,WX005,254,26.9,80
Bauchi,WX015,42,20.2,37
Kaduna,WX026,259,28.1,94
Kaduna,WX008,189,22.3,89
Bauchi,WX022,122,38.8,74
Plateau,WX030,126,28.9,77
Benue,WX023,84,24.0,37
Nasarawa,WX013,157,32.7,55
Bauchi,WX018,122,21.8,70
Kaduna,WX027,68,36.0,32
Enugu,WX003,171,19.0,92
Bauchi,WX001,223,34.3,66
Kaduna,WX037,72,25.1,37
Niger,WX029,159,28.4,85
Nasarawa,WX032,190,20.6,95
Nasarawa,WX022,140,30.4,66
Enugu,WX014,238,30.9,87
Kano,WX039,93,24.0,92
Kaduna,WX032,200,24.9,68
Kano,WX011,106,18.2,32
Niger,WX025,249,20.0,30
Ogun,WX040,68,18.2,65
Niger,WX037,167,39.0,71
Benue,WX037,249,39.0,50
Nasarawa,WX015,244,24.3,49
Enugu,WX026,182,33.4,65
Enugu,WX002,207,20.8,37
Kano,WX006,248,25.6,53
Kaduna,WX035,167,24.0,59
Niger,WX002,109,37.5,39
Kano,WX024,95,32.9,59
Kaduna,WX005,136,19.8,53
Nasarawa,WX031,65,24.4,81
Kaduna,WX001,68,22.0,38
Ogun,WX002,101,26.8,43
Enugu,WX040,161,19.5,81
Nasarawa,WX032,124,32.0,56
Plateau,WX040,211,33.9,81
Plateau,WX040,153,36.3,42
Ogun,WX025,255,21.3,37
Oyo,WX019,169,33.0,75
Enugu,WX037,237,26.1,37
Benue,WX039,90,32.6,30
Ogun,WX024,126,38.5,38
Oyo,WX007,42,35.8,88
Nasarawa,WX029,250,28.5,33
Niger,WX001,147,19.0,32
Niger,WX010,204,32.0,68
Ogun,WX006,239,36.7,67
Kano,WX005,202,21.2,38
Enugu,WX016,161,23.4,45
Nasarawa,WX015,141,29.1,31
Kaduna,WX040,142,38.5,81
Nasarawa,WX035,172,29.1,39
Kano,WX009,241,22.5,91
Kaduna,WX039,125,23.0,47
Kaduna,WX020,161,26.7,91
Oyo,WX027,260,22.9,51
Niger,WX011,129,36.0,57
Kano,WX024,204,33.2,53
Kano,WX013,87,20.0,69
Enugu,WX014,154,25.6,46
Niger,WX014,64,23.4,55
Plateau,WX010,166,21.4,82
Ogun,WX038,229,35.1,66
Nasarawa,WX021,120,35.6,47
Niger,WX008,45,24.0,35
Kano,WX020,130,25.8,67
Bauchi,WX017,139,30.7,41
Oyo,WX025,239,24.6,36
Oyo,WX040,140,38.5,56
Enugu,WX029,247,38.0,65
Kano,WX036,104,27.4,92
Benue,WX001,123,33.3,65
Kaduna,WX016,238,32.4,59
Kano,WX005,120,34.1,68
Kaduna,WX034,219,36.5,73
Plateau,WX022,119,23.2,56
Enugu,WX005,174,32.9,30
Enugu,WX029,182,37.6,80
Kaduna,WX010,117,33.3,47
Kano,WX037,107,35.6,67
Kano,WX040,217,36.3,30
Plateau,WX026,54,25.7,39
Kaduna,WX036,204,30.1,42
Niger,WX039,201,31.0,46
Kaduna,WX005,223,34.9,83
Enugu,WX035,149,34.6,50
Benue,WX014,187,34.8,94
Benue,WX036,72,30.2,50
Niger,WX040,60,22.1,70
Ogun,WX028,220,27.3,77
Oyo,WX016,220,21.0,48
Kano,WX029,81,19.7,34
Kano,WX029,76,28.8,61
Nasarawa,WX036,222,33.4,88
Benue,WX026,210,19.0,45
Benue,WX023,95,23.1,60
Kaduna,WX027,176,35.1,94
Kaduna,WX009,203,33.4,59
Bauchi,WX006,246,31.3,50
Oyo,WX015,101,28.5,50
Benue,WX012,85,36.0,42
Niger,WX032,221,19.6,54
Nasarawa,WX012,201,27.3,53
Benue,WX016,185,35.6,88
Nasarawa,WX033,223,25.8,43
Bauchi,WX009,140,38.2,41
Kaduna,WX010,117,26.0,42
Niger,WX024,232,31.4,30
Bauchi,WX031,145,24.0,33
Niger,WX030,137,22.2,85
Kano,WX022,189,37.7,64
Oyo,WX002,61,22.9,56
Plateau,WX040,46,23.1,91
Benue,WX036,195,35.7,94
Nasarawa,WX014,175,31.6,81
Niger,WX021,153,26.8,34
Niger,WX038,125,24.4,74
Oyo,WX037,254,23.6,49
Kaduna,WX004,231,36.4,77
Nasarawa,WX024,47,36.7,45
Plateau,WX035,50,36.3,65
Benue,WX024,238,22.6,44
Oyo,WX018,97,37.2,57
Niger,WX010,86,29.7,70
Ogun,WX004,103,31.4,70
Bauchi,WX011,107,31.1,57
Plateau,WX034,237,28.9,62
Ogun,WX034,78,37.5,90
Nasarawa,WX035,258,28.9,35
Plateau,WX025,137,20.0,44
Oyo,WX025,168,37.6,45
Nasarawa,WX018,140,18.8,70
Benue,WX027,105,30.7,67
Bauchi,WX003,60,34.5,52
Kano,WX005,122,33.4,66
Ogun,WX032,63,19.9,52
Nasarawa,WX039,242,32.7,67
Plateau,WX037,224,33.9,33
Bauchi,WX028,158,23.2,52
Kano,WX007,104,19.8,47
Plateau,WX010,239,21.9,58
Niger,WX029,232,26.9,52
Ogun,WX026,119,24.8,54
Kano,WX019,252,36.1,62
Ogun,WX013,82,38.5,53
Plateau,WX003,49,19.7,37
Nasarawa,WX029,43,22.5,79
Nasarawa,WX026,240,21.5,40
Kaduna,WX014,196,32.0,31
Oyo,WX023,144,26.7,75
Niger,WX033,82,28.2,34
Kano,WX028,221,19.1,61
Oyo,WX027,44,20.6,66
Kano,WX035,86,28.7,95
Benue,WX016,69,24.7,92
Kaduna,WX021,119,30.6,39
Oyo,WX020,118,21.2,54
Benue,WX032,98,22.1,80
Kaduna,WX037,220,31.0,41
Niger,WX021,55,31.7,95
Kaduna,WX039,241,21.5,95
Ogun,WX008,178,36.3,32
Bauchi,WX012,81,30.6,76
Enugu,WX011,123,23.3,61
Oyo,WX004,96,37.0,56
Niger,WX023,259,28.8,82
Bauchi,WX030,144,26.2,87
Bauchi,WX035,118,38.8,77
Kaduna,WX011,167,21.4,73
Niger,WX006,112,34.6,76
Benue,WX023,98,37.6,76
Kano,WX038,254,27.0,90
Ogun,WX035,44,23.5,54
Bauchi,WX040,172,28.9,93
Plateau,WX016,99,20.3,94
Ogun,WX027,124,22.7,37
Kaduna,WX028,174,23.6,42
Benue,WX027,107,20.8,91
Kaduna,WX016,88,18.4,85
Plateau,WX017,47,30.0,30
Kano,WX035,90,33.8,51
Nasarawa,WX022,130,21.8,59
Oyo,WX002,195,25.7,82
Bauchi,WX019,153,19.3,72
Benue,WX020,214,20.1,70
Plateau,WX022,198,37.1,89
Nasarawa,WX006,259,28.1,56
Ogun,WX025,60,24.3,82
Kano,WX011,113,25.4,31
Benue,WX015,78,28.7,60
Niger,WX022,95,23.0,80
Benue,WX036,207,36.9,31
Plateau,WX023,108,35.4,48
Kano,WX028,165,25.1,50
Nasarawa,WX001,90,25.5,41
Nasarawa,WX034,156,22.4,85
Bauchi,WX025,58,31.9,79
Plateau,WX026,211,34.2,41
Benue,WX006,183,20.0,68
Nasarawa,WX031,157,24.1,57
Oyo,WX035,183,37.5,79
Niger,WX032,151,28.0,30
Plateau,WX036,180,33.6,61
Enugu,WX030,120,23.2,94
Ogun,WX040,75,30.4,59
Nasarawa,WX033,128,20.0,71
Kano,WX027,105,31.6,57
Kano,WX018,83,26.0,64
Plateau,WX015,63,32.5,37
Niger,WX003,239,23.3,39
Niger,WX032,171,20.1,46
Ogun,WX030,150,26.8,79
Plateau,WX037,122,20.5,81
Ogun,WX019,74,20.2,78
Kano,WX004,164,36.0,93
Enugu,WX030,250,22.9,37
Bauchi,WX031,159,37.1,86
Oyo,WX038,145,27.4,62
Oyo,WX004,203,31.3,55
Plateau,WX029,218,25.9,80
Bauchi,WX026,236,24.6,72
Bauchi,WX029,74,27.6,90
Plateau,WX029,172,34.3,60
Nasarawa,WX039,260,30.3,48
Nasarawa,WX037,190,22.3,38
Ogun,WX009,193,29.9,79
Enugu,WX004,118,33.1,90
Kano,WX015,48,34.5,34
Oyo,WX006,82,21.4,39
Benue,WX029,195,21.8,37
Bauchi,WX023,143,30.7,55
Kaduna,WX025,81,31.0,81
Enugu,WX012,258,19.0,79
Ogun,WX033,131,22.3,50
Kano,WX023,70,27.6,31
Enugu,WX025,195,26.0,54
Kano,WX004,205,21.8,42
Benue,WX001,207,18.7,52
Bauchi,WX026,246,36.6,85
Oyo,WX040,224,29.6,75
Ogun,WX026,94,19.4,88
Kaduna,WX037,68,22.5,79
Enugu,WX037,135,20.4,63
Nasarawa,WX010,95,31.7,46
Niger,WX013,154,37.2,82
Enugu,WX019,140,33.3,80
Kano,WX018,93,19.1,55
Bauchi,WX010,226,27.6,33
Benue,WX019,206,20.2,32
Kaduna,WX018,202,18.1,87
Oyo,WX026,74,32.7,57
Enugu,WX023,167,26.2,84
Enugu,WX022,178,24.2,56
Enugu,WX015,159,31.4,77
Plateau,WX007,242,35.7,60
Benue,WX006,237,36.5,68
Enugu,WX028,227,18.6,59
Kaduna,WX027,200,36.1,34
Enugu,WX017,124,24.4,86
Oyo,WX035,68,23.6,42
Ogun,WX018,152,34.0,50
Niger,WX038,130,19.8,87
Benue,WX033,149,23.2,48
Plateau,WX024,238,35.5,47
Niger,WX013,215,23.4,33
Enugu,WX012,236,34.5,43
Oyo,WX024,133,34.4,39
Enugu,WX016,127,22.1,92
Oyo,WX026,118,36.7,94
Enugu,WX039,71,26.0,57
Niger,WX014,138,37.8,90
Oyo,WX038,170,34.3,95
Plateau,WX011,139,34.3,68
Kaduna,WX028,207,36.3,94
Nasarawa,WX023,114,24.0,63
Oyo,WX020,83,27.2,94
Benue,WX015,54,30.0,67
Kaduna,WX010,88,23.3,54
Nasarawa,WX011,220,22.0,34
Benue,WX022,182,30.2,43
Plateau,WX011,196,26.4,39
Kano,WX024,164,29.3,90
Nasarawa,WX026,167,22.4,86
Bauchi,WX027,50,21.4,82
Nasarawa,WX004,171,22.5,57
Enugu,WX003,241,24.6,57
Plateau,WX037,149,24.3,38
Benue,WX027,92,33.3,58
Enugu,WX004,68,28.4,54
Niger,WX032,82,36.8,32
Niger,WX012,117,32.6,65
Oyo,WX009,55,35.2,55
Nasarawa,WX009,195,19.4,77
Niger,WX040,59,30.9,56
Ogun,WX012,219,30.5,48
Kano,WX025,64,35.9,57
Enugu,WX035,81,20.4,32
Kano,WX034,139,26.7,93
Niger,WX024,42,35.7,94
Bauchi,WX010,238,25.0,68
Ogun,WX007,120,22.9,60
Kaduna,WX024,237,35.2,32
Kano,WX020,210,28.0,88
Oyo,WX024,186,18.8,53
Plateau,WX023,149,30.7,73
Kaduna,WX008,202,30.2,60
Plateau,WX030,77,38.9,38
Bauchi,WX012,160,35.0,41
Kano,WX004,250,32.3,73
Enugu,WX017,67,22.8,85
Nasarawa,WX035,170,25.1,86
Ogun,WX040,250,21.9,90
Nasarawa,WX011,121,28.3,54
Kano,WX031,115,30.2,69
Kano,WX001,62,34.3,61
Plateau,WX030,54,36.9,48
Enugu,WX036,212,30.3,44
Plateau,WX002,53,36.3,33
Ogun,WX020,213,29.3,39
Plateau,WX008,247,19.5,52
Plateau,WX006,198,37.3,51
Niger,WX022,253,34.5,75
Bauchi,WX004,219,18.7,82
Kano,WX025,185,20.7,43
Plateau,WX023,132,32.0,71
Bauchi,WX009,109,26.2,42
Benue,WX035,159,29.7,63
Benue,WX034,79,23.3,70
Kano,WX038,254,37.7,87
Ogun,WX011,141,29.1,44
Oyo,WX036,230,20.3,36
Kaduna,WX020,242,38.4,40
Plateau,WX011,51,22.1,95
Ogun,WX039,57,27.2,79
Ogun,WX020,250,26.5,39
Bauchi,WX015,171,29.5,93
